,Estado,Fecha,IP_dia_1,IP_dia_2,IP_dia_3,IP_dia_4,IP_dia_5,IP_dia_6,IP_dia_7,IP_dia_8,IP_dia_9,IP_dia_10,IP_dia_11,IP_dia_12,IP_dia_13,IP_dia_14,IP_dia_15,IP_dia_16,IP_dia_17,IP_dia_18,IP_dia_19,IP_dia_20,IP_dia_21,IP_dia_22,IP_dia_23,IP_dia_24,IP_dia_25
11,Moscow Oblast,2020-12-26,504.571428571429,483.571428571429,462.142857142857,462.714285714286,454.285714285714,428.428571428571,411,389.285714285714,369.285714285714,346.571428571429,320.428571428571,295.714285714286,281.571428571428,261.857142857143,240.714285714286,203.142857142857,192.142857142857,212.714285714286,192,129.428571428572,55.2857142857142,-22.5714285714284,-57.285714285714,-116.142857142857,-218.714285714286
12,Saint Petersburg,2020-12-12,1872.28571428571,1720.14285714286,1643.28571428571,1485.14285714286,1480.71428571429,1651.28571428571,1668,1672.28571428571,1831.42857142857,1853.42857142857,1970.42857142857,1940,1776.71428571429,1768.42857142857,1587.85714285714,1422.28571428571,1325.57142857143,1228.14285714286,1202.71428571429,1206.57142857143,1205.42857142857,1283.71428571429,1340.71428571429,1341,1216.28571428571
13,Kanagawa,2021-01-15,162,97,95,158.285714285714,196.714285714286,220.428571428571,289.857142857143,363.285714285714,408.428571428571,410.285714285714,350.285714285714,270.285714285714,273,214.428571428571,103.571428571429,-12.4285714285714,-79.4285714285714,-131.142857142857,-157.285714285714,-232.285714285714,-187.571428571429,-313.142857142857,-295.714285714286,-292.285714285714,-278.142857142857
14,Osaka,2021-01-09,-23.5714285714286,17.8571428571428,29.5714285714286,38.7142857142857,61.1428571428571,98.8571428571429,110.428571428571,176.857142857143,208.857142857143,204.428571428571,241,267,271.857142857143,258.571428571428,257.714285714286,247.428571428571,264,244.571428571429,200.571428571429,150.428571428572,157.571428571428,89.1428571428571,30.2857142857142,-10.4285714285714,-24.2857142857143
15,Tokyo,2021-01-08,271,297.428571428571,390.142857142857,420.142857142857,411.285714285714,417.714285714286,468.857142857143,546.285714285714,651.285714285714,774.571428571429,954,1116.28571428571,1165.71428571429,1193.57142857143,1129.85714285714,1072,845.571428571429,710.571428571428,526.428571428571,404.142857142857,356.714285714286,316.571428571429,172,57,-98.7142857142856
16,Karnataka,2020-10-08,1386.42857142857,2240.28571428571,2022.85714285714,2312.71428571429,2130.85714285714,1776.14285714286,1751.14285714286,1841,1254.57142857143,1422.42857142857,1156.14285714286,1172.14285714286,1355.71428571429,865.142857142857,233,-52.5714285714275,-131.142857142859,-341.285714285714,-755.714285714284,-1315.71428571429,-1426,-1221.42857142857,-1220.57142857143,-1793,-2805.28571428571
17,Kerala,2020-10-11,3820.14285714286,4129.85714285714,4065.85714285714,4015.85714285714,3903.57142857143,3754.85714285714,3633.42857142857,2652,2086.42857142857,2204.71428571429,1736.57142857143,1406.71428571429,1142,285.571428571428,609.000000000001,510.857142857143,59.8571428571431,-112.285714285715,-189.714285714286,-449.999999999999,-9.42857142857156,-126.285714285715,142.142857142857,250.571428571429,247.285714285715
18,Maharashtra,2020-09-12,4723.57142857143,4499.57142857143,4950.42857142857,5698.71428571429,6675.57142857143,6825.85714285714,7135.85714285714,8033.71428571428,8773.71428571429,9447,9257.71428571429,8623.14285714286,8347.42857142857,7767,7228.28571428571,6639.28571428572,5067.57142857143,3418.57142857143,1027.71428571428,-1247.28571428571,-1909.85714285714,-2516.71428571429,-2963.28571428571,-3163.28571428571,-3197.28571428571
19,Minas Gerais,2021-02-05,583.142857142858,-546,5.85714285714312,251.714285714286,71.8571428571422,-44.2857142857138,-110.571428571429,-99.2857142857138,-94.5714285714284,70,-31.7142857142853,-644.571428571428,21.8571428571431,-317.428571428572,-87,80.4285714285716,-101.857142857142,723.571428571428,533.142857142857,-47.8571428571431,224.428571428572,27.4285714285716,-519.000000000001,-492.142857142857,-1377.57142857143
20,Santa Catarina,2021-01-08,-297.571428571428,-1398.85714285714,-1326.57142857143,-1274.28571428571,87.1428571428573,307,-728.714285714286,-612.428571428571,535.857142857143,-229.857142857143,-300.571428571429,309.571428571428,446.285714285714,1100.28571428571,1458,537.571428571429,925.142857142857,349.142857142857,308.285714285714,-190.714285714286,88.1428571428569,-984,-220.428571428572,-440.142857142857,-545.571428571428
