"","Estado","Fecha","R0_dia_1","R0_dia_2","R0_dia_3","R0_dia_4","R0_dia_5","R0_dia_6","R0_dia_7","R0_dia_8","R0_dia_9","R0_dia_10","R0_dia_11","R0_dia_12","R0_dia_13","R0_dia_14","R0_dia_15","R0_dia_16","R0_dia_17","R0_dia_18","R0_dia_19","R0_dia_20","R0_dia_21","R0_dia_22","R0_dia_23","R0_dia_24","R0_dia_25"
"13","Kanagawa",2021-01-15,"1.64289301858363","1.67317073170732","1.58176100628931","1.62244472256988","1.75878220140515","1.82670667666917","1.83250355618777","1.90171388597412","1.90594227504244","1.94832126398947","1.956936226167","1.96467391304348","1.97235333782873","2.00788436268068","1.8168755732192","1.71778425655977","1.60124964498722","1.38673180766264","1.12827341322681","0.994455852156058","0.822239472152144","0.716203788854148","0.634954569748797","0.551782395674945","0.507979170166303"
"14","Osaka",2021-01-09,"0.782136894824708","0.813893653516295","0.816987740805604","0.842566943674977","0.875237191650854","0.941987636709463","0.996634615384615","1.16533066132265","1.35470527404343","1.5695674830641","1.78342947037231","1.94708994708995","2.08279569892473","2.05109100585418","2.04375667022412","2.0100105374078","1.9983922829582","2.03342465753425","1.97452574525745","1.81423523472993","1.80656054027979","1.59716251074807","1.38320610687023","1.16401062416999","1.0002940311673"
"15","Tokyo",2021-01-08,"1.51691884456671","1.52632985832665","1.55491037616763","1.50322580645161","1.42895054282268","1.4288083392561","1.49350046425255","1.55429607798685","1.67440303503682","1.89421596657137","2.14432557163835","2.34457831325301","2.40724863600935","2.43037732235204","2.24537540805223","2.14063047285464","1.83114141906154","1.79712776493892","1.76059429343238","1.74531586801525","1.63366490519117","1.57249124854142","1.41570038651206","1.22965285034251","0.955292506358834"
"16","Karnataka",2020-10-08,"1.00836341866076","0.936361474435196","0.963009800822004","0.99796558848113","1.01353662239696","1.04366049033093","1.08325567463223","0.967715145852798","1.10598276009217","1.19743273000698","1.24571502370805","1.28414161903006","1.28518389816559","1.24307055274947","1.26305278687345","1.15814158243172","1.09519041365726","1.01915297092288","0.963779999369264","0.896035228629464","0.84917428373915","0.807444754344561","0.783946044386826","0.708708978096733","0.662080303322028"
"17","Kerala",2020-10-11,"2.16947010632735","2.17872093505202","2.06425423335653","1.98600736071129","1.81220966626034","1.93305016885423","1.89299283094916","1.69372247379195","1.58025584626071","1.58450208479991","1.49549958399516","1.45804170400329","1.37234950584007","1.18261975236586","1.18668273576378","1.08648175626831","1.01833539348991","0.966148031264908","0.940788277642439","0.892891234263278","0.902301959894588","0.941126920470985","0.963755242577975","0.886145381224155","0.860998718726819"
"18","Maharashtra",2020-09-12,"1.33237062580139","1.32602238976468","1.3582676235894","1.37153048584668","1.4623893293881","1.47237196765499","1.53335748081407","1.57223906116422","1.62774288594247","1.68555966646419","1.66671720508128","1.55734136268386","1.37848360449048","1.47472794617306","1.43767985947602","1.40597228771446","1.31936176314669","1.25647050952911","1.17238762912672","1.25150266971777","1.06974443771869","1.00683567544665","0.933120563997523","0.873161270877152","0.865226798697881"
"19","Minas Gerais",2021-02-05,"1.02514033072539","1.07384581154745","0.990910788769221","0.892134876861224","0.884669623331766","0.850578969940349","0.836171795474121","0.849194878162979","0.814172869197437","0.847715526152574","0.828061339393567","0.650375864488323","0.838730844128355","0.797446216734444","0.829052239910361","0.823263716227416","0.757806119243576","0.822025454051361","0.962227972092593","0.759425205692939","0.809598501697296","0.756442526669064","0.770257193786606","0.714344941956882","0.710248485597725"
"20","Santa Catarina",2021-01-08,"0.593419983753046","0.544316458555158","0.553422476918179","0.550405849185204","0.585211267605634","0.514079721064918","0.5296698440755","0.512843925006087","0.602806424344886","0.69332051187218","0.888822295474977","1.0657196154398","1.2421536651874","1.28107843670164","1.32551905087839","1.33325429756965","1.26612207329","1.22858268602949","1.17804397768297","1.21669157374411","1.24611167391693","1.21649851632047","1.13248822077631","1.01205590525979","0.87236297081206"
"21","Sao Paulo",2021-01-28,"1.72328934187029","1.77844220888563","1.66337461995225","1.51198426060801","1.17770590016093","1.02998897464168","0.991674474635256","0.980787576849693","0.943354627920258","0.955598811058211","0.99530863871232","1.0429818058861","0.994475766692792","0.984016564192559","0.978491090610388","0.956118522474842","0.928824662340371","0.936765717860494","0.99042130043023","0.804685827445943","0.971358384623691","0.940423117451568","0.999014473165512","0.988094910402158","0.916511763768655"
"22","Ciudad de Mexico",2021-01-17,"0.80462341536167","0.894252628587667","1.17696674776967","1.25668139947953","1.27114355634825","1.39360866148607","1.4129505719836","1.45437972046185","1.55379067571048","1.65488805332422","1.74337951595931","1.79914018525905","1.8582263967897","1.88723598039641","1.90049709326818","1.74939424031778","1.46365077177508","1.36396805048812","1.3391307185277","1.23795501534992","1.16788365769454","1.08837223183907","0.961706360170194","0.86003459760915","0.819279229434399"
"23","Guanajuato",2021-01-22,"1.21233230134159","1.31583092675243","1.44048582995951","1.52620146619604","1.62322015334064","1.80900173110213","1.63872363439697","1.66938983916262","1.83054393305439","1.83509833585477","1.85980824047681","1.57823879938203","1.55844155844156","1.60465608465608","1.54075335177697","1.34457302474062","1.19917556679783","1.10193915673368","0.951585695006748","0.836044657097289","0.796534653465347","0.665392261813733","0.564428571428571","0.410140148392415","0.476104221819702"
"24","Mexico",2021-01-17,"0.774098099465119","0.7924617196702","0.956","1.03553427419355","0.992614475627769","1.07672199712456","1.13069306930693","1.15763147221847","1.35068892421834","1.59593462436479","1.63385002094679","1.74575783721599","1.97348252605763","2.05633802816901","2.10761540723317","2.06495243757432","1.74790794979079","1.60489170114383","1.60391865079365","1.546491866958","1.44261529480444","1.40780100432092","1.12721922511035","0.939156626506024","0.904273504273504"
"25","California",2020-12-17,"1.83612809890182","1.82683109963692","1.92054662476278","2.17791956151713","2.22376309136872","2.25914907196755","2.1888645433915","2.13957213022461","2.27192618401876","2.44197054698457","2.22426349024573","2.17406292997868","2.04279166666667","1.9199425437119","1.91867822266791","1.771944147289","1.55382097839214","1.39402593317146","1.16678112065926","1.25206419510061","1.20447598448421","1.21730490919732","1.13901491979337","0.967738644478955","0.932302883952981"
"26","Florida",2021-01-08,"0.988760996229864","0.996540369305156","1.02687501694088","1.00908279728848","1.18444193616128","1.23563165201296","1.23423872733318","1.26066320798778","1.31264545178589","1.34585077722829","1.90631669769765","1.53821598084651","1.58456535014841","1.65533463518551","1.60837413521672","1.49972115330991","1.33920204833111","1.30416133247106","1.0581084824644","1.00868848775373","0.939698492462312","0.857255860059477","0.80493915188422","0.777129324198596","0.631553872174182"
"27","Texas",2021-01-06,"1.08566220509348","1.01014874026105","1.02761423747049","0.952313253235953","1.02020062960617","1.0707513360008","1.1797711266018","1.05272950079161","1.07710984375409","1.1378395254449","1.11712114823643","1.27299950862684","1.59090957429838","1.76942761891346","1.4516401385411","1.59324071198902","1.45869807571131","1.52167591987276","1.42631209629536","1.3758166334788","1.2287083607234","1.35032117731027","1.19993837571354","1.08850474840323","1.11537928272122"
